[-0.15941098],[-0.39563764],[-0.50368411],[0.75819408],[-0.89360358]
[-0.14263485],[-0.66099421],[-0.58941785],[1.10503962],[-1.3107398]
[-0.1705534],[-0.08011685],[-0.3574147],[0.49431147],[-1.61580386]
[-0.39272172],[0.25597499],[-0.98324103],[0.95038313],[-1.54426098]
[-0.26540338],[0.20669694],[-1.10385392],[0.9596496],[-1.53821931]
[-0.11042124],[0.13844839],[-1.36540865],[0.66381308],[-1.33980928]
[-0.28071651],[0.17186564],[-1.52160336],[1.31334335],[-1.32832274]
[-0.07788825],[0.43284338],[-1.27517956],[0.8806822],[-1.4317039]
[-0.3190117],[0.61861995],[-0.58816592],[0.30819245],[-1.30272074]
[-0.67880755],[0.80217691],[-0.84670918],[0.56036164],[-1.62500619]
[-0.3444762],[0.5440272],[-0.68081452],[0.37341667],[-1.99339724]
[0.06538543],[0.31662722],[-0.65905921],[0.41550234],[-1.83296662]
[-0.37953515],[0.56461864],[-0.79904952],[0.58281669],[-1.22944212]
[-0.13028499],[0.20195497],[-0.98773059],[0.86111664],[-1.10500456]
[-0.44936638],[-0.46946376],[-1.1808624],[0.92880596],[-1.19885573]
[-0.53358326],[-0.58359116],[-1.01008998],[0.83434586],[-0.95185567]
[-0.54085074],[-1.00495434],[-0.88642546],[0.54118288],[-1.06261503]
[-0.52085327],[-1.38391792],[-1.2781977],[0.11261298],[-1.55065859]
[-0.53655176],[-1.2793452],[-1.11374034],[-0.48506706],[-1.11078974]
[-0.38582567],[-0.85538181],[-1.48604712],[-0.90659585],[-0.7682257]
[-0.32667918],[-1.06598855],[-0.83649084],[-1.38781041],[-0.11315393]
[-0.06699162],[-0.97247063],[-0.96677137],[-1.29029418],[0.61966662]
[0.03630759],[-0.89881759],[-0.30337179],[-1.4333779],[0.80098659]
[-0.70788833],[-1.38764085],[-0.39580114],[-1.88014496],[0.93905683]
[-0.58265526],[-1.58090386],[0.19716436],[-2.],[0.83233219]
[-0.9279375],[-1.71969587],[0.22913149],[-2.],[0.78272405]
[-0.76652646],[-1.40762698],[0.60969332],[-2.],[0.49720916]
