[ 0.96508353 -0.26194233 -1.06135523],[-0.55820049 -0.8297061  -0.43969664],[0.826499   0.56293819 0.77934138],[ 0.63896265 -0.76923776 -0.91030042],[ 0.56796829  0.82305044 -0.4326198 ]
[ 0.94636765 -0.32309173 -1.2792072 ],[-0.60540262 -0.79591938 -1.16112535],[0.79390416 0.60804291 1.11313234],[ 0.58677902 -0.80974711 -1.3214728 ],[ 0.56845967  0.82271113 -0.01194295]
[ 0.91856961 -0.39525925 -1.54710901],[-0.67338333 -0.7392935  -1.77008242],[0.7455939  0.66640059 1.51555232],[ 0.50927616 -0.86060315 -1.85463641],[0.55344632 0.83288485 0.36271982]
[ 0.87687534 -0.48071783 -1.90246171],[-0.75331193 -0.65766339 -2.2861563 ],[0.68019767 0.73302873 1.8678666 ],[ 0.40453191 -0.91452388 -2.3575313 ],[0.52158633 0.85319851 0.75574431]
[ 0.81584136 -0.57827578 -2.30281059],[-0.83630215 -0.54826883 -2.7483993 ],[0.59352305 0.80481699 2.25206006],[ 0.26817014 -0.96337157 -2.89947677],[0.47103494 0.88211455 1.1649103 ]
[ 0.72877318 -0.68475518 -2.75308061],[-0.91171736 -0.41081803 -3.13883366],[0.48195641 0.8761952  2.65086151],[ 0.09522691 -0.99545559 -3.52243349],[0.39786396 0.91744442 1.62552482]
[ 0.60605449 -0.79542313 -3.30875447],[-0.96834264 -0.24962478 -3.42116734],[0.34186224 0.93975008 3.0797674 ],[-0.10801859 -0.99414887 -4.07202368],[0.29883289 0.95430545 2.11435973]
[ 0.43967846 -0.89815525 -3.91700506],[-0.99717984 -0.07504915 -3.54345942],[0.16842603 0.9857143  3.59330303],[-0.33584897 -0.94191585 -4.685533  ],[0.17184554 0.98512391 2.61533324]
[ 0.22146545 -0.97516822 -4.63847325],[-0.99498139  0.10006016 -3.50695329],[-0.04297229  0.99907626  4.24436386],[-0.57269816 -0.81976632 -5.34574102],[0.01476383 0.99989101 3.15876805]
[-0.05024539 -0.9987369  -5.47167055],[-0.96488083  0.26268798 -3.31158163],[-0.28242277  0.95929004  4.86666468],[-0.78557141 -0.61877101 -5.87651152],[-0.16768643  0.98584038  3.66493538]
[-0.35590872 -0.93452072 -6.27239466],[-0.91412371  0.40543536 -3.03296156],[-0.53162607  0.84697917  5.48401003],[-0.93835762 -0.34566598 -6.28457728],[-0.36510697  0.93096557  4.10530608]
